文章标题,抽象的
UNET 3+：用于医学图像分割的全尺寸连接 UNET,最近，人们对基于深度学习的语义分割越来越感兴趣。 UNet 是一种具有编码器-解码器架构的深度学习网络，广泛用于医学图像分割。结合多尺度特征是准确分割的重要因素之一。 UNet++ 是通过设计具有嵌套和密集跳过连接的架构而开发为修改后的 Unet。但是，它没有从全尺度探索足够的信息，还有很大的改进空间。在本文中，我们提出了一种新颖的 UNet 3+，它利用了全面的跳过连接和深度监督。全尺寸跳跃连接将低级细节与来自不同尺度特征图的高级语义结合起来；而深度监督则从全尺寸聚合特征图中学习层次表示。所提出的方法特别有利于以不同尺度出现的器官。除了提高精度外，所提出的 UNet 3+ 还可以减少网络参数以提高计算效率。我们进一步提出了一种混合损失函数并设计了一个分类引导模块来增强器官边界并减少非器官图像中的过度分割，从而产生更准确的分割结果。在两个数据集上证明了所提出方法的有效性。
自动驾驶的深度多模态目标检测和语义分割：数据集、方法和挑战,自动驾驶感知的最新进展是由深度学习驱动的。为了实现稳健和准确的场景理解，自动驾驶汽车通常配备不同的传感器（例如摄像头、激光雷达、雷达），并且可以融合多种传感模式以利用它们的互补特性。在这种情况下，针对深度多模态感知问题提出了许多方法。然而，网络架构设计没有通用的指导方针，关于融合什么、何时融合以及如何融合的问题仍然悬而未决。本综述试图系统地总结方法并讨论自动驾驶中深度多模态目标检测和语义分割的挑战。为此，我们首先概述了测试车辆上的车载传感器、开放数据集以及用于自动驾驶研究中目标检测和语义分割的背景信息。然后，我们总结了融合方法并讨论了挑战和未解决的问题。在附录中，我们提供了总结主题和方法的表格。我们还提供了一个交互式在线平台来浏览每个参考：https://boschresearch.github.io/multimodalperception/。
用于路面裂缝检测的特征金字塔和分层增强网络,路面裂缝检测是确保道路安全的一项关键任务。手动裂纹检测非常耗时。因此，需要一种自动道路裂缝检测方法来推动这一进展。然而，由于裂缝的强度不均匀性和背景的复杂性，它仍然是一项具有挑战性的任务，例如，与周围路面的低对比度和可能具有相似强度的阴影。受计算机视觉深度学习最新进展的启发，我们提出了一种新的网络架构，称为特征金字塔和分层增强网络（FPHBN），用于路面裂缝检测。所提出的网络以特征金字塔的方式将上下文信息集成到用于裂缝检测的低级特征中，并通过在训练期间以分层方式嵌套样本重新加权来平衡简单样本和困难样本对损失的贡献。此外，我们提出了一种新的裂纹检测测量方法，称为平均交叉联合（AIU）。为了证明所提出方法的优越性和普遍性，我们在五个裂缝数据集上对其进行了评估，并将其与最先进的裂缝检测、边缘检测和语义分割方法进行了比较。大量实验表明，所提出的方法在准确性和普遍性方面优于这些方法。代码和数据可以在 https://github.com/fyangneil/pavement-crack-detection 中找到。
不变属性配置文件：用于高光谱图像分类的空间频率联合特征提取器,到目前为止，已经开发了大量先进的技术来增强和提取高光谱图像处理和分析中的空间语义信息。然而，局部语义变化，如场景组成、物体之间的相对位置、光照引起的光谱变化、大气效应和材料混合，在空间信息建模中很少被研究。因此，从空间不同的场景或位置识别相同的材料可能很困难。在本文中，我们提出了一种解决此问题的解决方案，方法是使用称为不变属性配置文件 (IAP) 的方法从空间和频域的高光谱图像 (HSI) 中局部提取不变特征。 IAP 通过利用 HSI 上的各向同性滤波器组或卷积核以及笛卡尔坐标系中的空间聚合技术（例如，超像素分割）来提取空间不变特征。此外，他们通过在傅立叶极坐标中构建的定向梯度的连续直方图来模拟不变的行为（例如，移位、旋转）。这产生了用于 HSI 分类的空间频率不变特征的组合表示。在三个有前途的高光谱数据集（Houston2013 和 Houston2018）上进行了广泛的实验，以证明所提出的 IAP 方法与几种最先进的剖面相关技术相比的优越性和有效性。代码可从以下网站获得：<uri>https://sites.google.com/view/danfeng-hong/data-code</uri>。
语义分割的对象-上下文表示,在本文中，我们研究了语义分割中的上下文聚合问题。由于像素的标签是像素所属对象的类别，我们提出了一种简单而有效的方法，即对象上下文表示，通过利用相应对象类别的表示来表征像素。首先，我们在真实分割的监督下学习对象区域。其次，我们通过聚合位于对象区域中的像素的表示来计算对象区域表示。最后，我们计算每个像素和每个对象区域之间的关系，并使用对象上下文表示增强每个像素的表示，该表示是所有对象区域表示的加权聚合。我们凭经验证明我们的方法在各种基准测试中实现了具有竞争力的性能：Cityscapes、ADE20K、LIP、PASCAL-Context 和 COCO-Stuff。我们的提交 ldquoHRNet + OCR + SegFixrdquo 在 ECCV 2020 提交截止日期前在 Cityscapes 排行榜上获得第一名。代码位于：https://git.io/openseg 和 https://git.io/HRNet.OCR。
自然图像和医学图像的深度语义分割：综述,语义图像分割任务包括将图像的每个像素分类为一个实例，其中每个实例对应一个类。该任务是场景理解概念的一部分，或者更好地解释图像的全局上下文。在医学图像分析领域，图像分割可用于图像引导干预、放射治疗或改进的放射诊断。在这篇综述中，我们将领先的基于深度学习的医学和非医学图像分割解决方案分为六大类：深度架构、基于数据合成、基于损失函数、序列模型、弱监督和多任务方法，以及对每个组的贡献进行全面审查。此外，对于每个组，我们分析了这些组的每个变体，并讨论了当前方法的局限性，并提出了语义图像分割的潜在未来研究方向。
SOLO：按位置分割对象,我们提出了一种新的、非常简单的实例分割方法。与许多其他密集预测任务（例如语义分割）相比，任意数量的实例使实例分割更具挑战性。为了预测每个实例的掩码，主流方法要么遵循 ldquodetect-then-segmentrdquo 策略（例如，Mask R-CNN），要么先预测嵌入向量，然后使用聚类技术将像素分组到单个实例中。我们通过引入 ldquoinstance categoriesrdquo 的概念，从全新的角度看待实例分割的任务，它根据实例的位置和大小为实例中的每个像素分配类别，从而很好地将实例分割转换为单次分类可解决的问题。我们展示了一个更简单灵活的实例分割框架，具有强大的性能，与 Mask R-CNN 实现了同等的准确性，并且在准确性上优于最近的单次实例分割器。我们希望这个简单而强大的框架可以作为除实例分割之外的许多实例级识别任务的基准。代码可在 https://git.io/AdelaiDet 获得。
深度学习在自动驾驶汽车控制中的应用调查,由于环境高度复杂且无法在部署后可能遇到的各种场景中测试系统，因此为自动驾驶汽车设计能够在所有驾驶场景中提供足够性能的控制器具有挑战性。然而，深度学习方法不仅在为复杂的非线性控制问题提供出色的性能，而且在将先前学习的规则推广到新场景方面都显示出了巨大的希望。由于这些原因，将深度学习用于车辆控制变得越来越流行。尽管在这一领域取得了重要进展，但这些工作尚未得到充分总结。本文调查了文献中报道的旨在通过深度学习方法控制车辆的广泛研究工作。尽管控制和感知之间存在重叠，但本文的重点是车辆控制，而不是更广泛的感知问题，包括语义分割和对象检测等任务。本文通过比较分析确定了可用深度学习方法的优势和局限性，并讨论了计算、架构选择、目标规范、泛化、验证和确认以及安全性方面的研究挑战。总体而言，这项调查为与智能交通系统相关的快速发展的领域带来了及时和热门的信息。
用于高分辨率双时相遥感图像变化检测的深度监督图像融合网络,高分辨率遥感图像中的变化检测对于了解地表变化至关重要。由于传统的变化检测方法不适合考虑高分辨率图像中传达的精细图像细节和复杂纹理特征带来的挑战，因此提出了许多基于深度学习的变化检测方法来提高变化检测性能。尽管最先进的基于深度特征的方法优于所有其他基于深度学习的变化检测方法，但现有的基于深度特征的方法中的网络大多是从最初为单图像语义分割提出的架构修改而来的。转移这些网络进行变化检测任务仍然存在一些关键问题。在本文中，我们提出了一种深度监督图像融合网络（IFN），用于高分辨率双时相遥感图像的变化检测。具体来说，首先通过完全卷积的双流架构提取具有高度代表性的双时图像深度特征。然后，将提取的深度特征输入深度监督的差异判别网络（DDN）进行变化检测。为了提高输出变化图中对象的边界完整性和内部紧凑性，通过注意力模块将原始图像的多层深度特征与图像差异特征融合，用于变化图重建。通过直接向网络中的中间层引入变化图损失来进一步增强 DDN，并以端到端的方式训练整个网络。干扰素应用于一个公开可用的数据集，以及一个具有挑战性的数据集，该数据集由来自谷歌地球的多源双时相图像组成，覆盖中国不同城市。视觉解释和定量评估都证实，与最先进的方法相比，IFN 通过返回具有完整边界和高内部紧凑性的变化区域，优于文献中的四种基准方法。
基于图像块匹配和密集卷积网络的无覆盖实时图像信息隐藏,信息安全最近成为公众关注的重点问题。为了从根本上抵制图像信息隐藏领域的解密和分析，显着提高秘密信息的安全性，本文提出了一种基于深度学习的无覆盖信息隐藏方法。深度学习可以根据需求选择合适的载体，实现图像数据的实时隐藏，CNN提取的高层语义特征比低层特征更准确。该方法不需要使用指定图像来嵌入秘密数据，而是传输一组实时隐写图像，这些图像与给定的秘密图像共享一个或几个视觉上相似的块。在这种方法中，根据特定要求对在线搜索的一组实时图像进行分割。然后，使用 DenseNet 提取每个相似块的高级语义特征。同时，通过 DCT 生成具有特征序列、DC 和位置的鲁棒哈希序列。构建基于哈希序列的倒排索引结构，有效实现图像实时匹配。在发送端，通过特征检索匹配并发送隐秘图像。在接收端，通过接收到的隐秘图像提取相似块并根据位置信息拼接图像块，可以恢复秘密图像。实验结果表明，与现有的一些无覆盖图像信息隐藏相比，该方法在没有任何修改痕迹的情况下具有更好的鲁棒性，具有更高的检索精度和容量。
使用深度神经网络从连续驾驶场景中进行稳健的车道检测,驾驶场景中的车道检测是自动驾驶汽车和高级驾驶辅助系统的重要模块。近年来，已经提出了许多复杂的车道检测方法。然而，大多数方法都侧重于从一张图像中检测车道，并且在处理一些极其恶劣的情况（如阴影重、标记退化严重、车辆严重遮挡等）时往往会导致性能不理想。事实上，车道是道路上的连续线结构。因此，在当前帧中无法准确检测到的车道可能会通过合并先前帧的信息来推断出来。为此，我们通过使用连续驾驶场景的多帧来研究车道检测，并通过结合卷积神经网络（CNN）和循环神经网络（RNN）提出了一种混合深度架构。具体来说，每一帧的信息被一个CNN块抽象出来，然后将多个连续帧的CNN特征，具有时间序列的特性，输入RNN块进行特征学习和车道预测。在两个大规模数据集上进行的大量实验表明，所提出的方法在车道检测方面优于其他竞争方法，尤其是在处理困难情况方面。
二元神经网络：调查,二元神经网络在很大程度上节省了存储和计算，是在资源有限的设备上部署深度模型的有前途的技术。然而，二值化不可避免地会导致严重的信息丢失，更糟糕的是，它的不连续性给深度网络的优化带来了困难。为了解决这些问题，人们提出了多种算法，并在近年来取得了令人满意的进展。在本文中，我们对这些算法进行了全面的综述，主要分为直接进行二值化的原生解决方案，以及使用最小化量化误差、改进网络损失函数和减少梯度误差等技术的优化算法。我们还研究了二元神经网络的其他实际方面，例如硬件友好设计和训练技巧。然后，我们对不同的任务进行评估和讨论，包括图像分类、对象检测和语义分割。最后对未来研究可能面临的挑战进行了展望。 (C) 2020 Elsevier Ltd. 保留所有权利。
Vcash：一种用于识别互联车辆互联网拒绝交通服务的新型声誉框架,随着 UGV 技术的快速发展，车联网的信任管理成为近年来的热门话题。然而，现有的基于车辆间可信度验证的解决方案使得交通事件的传输效率很低。在本文中，我们假设部署的路边单元 (RSU) 可以在任何一对 RSU 和车辆之间提供有效的通信，并提出车辆现金 (Vcash)，一种用于识别拒绝交通服务的信誉框架，以解决交通服务中的可信度问题。车联网应用层面。在我们的信誉框架中，每辆车都直接与 RSU 通信以进行交通事件验证，并传播经过验证的交通事件通知。我们借鉴市场交易的思想，建立交易规则，限制恶意车辆传播虚假信息，鼓励车辆为交通事件监测和验证做出贡献。为了评估我们的声誉框架的有效性，我们进行了模拟实验。我们的实验结果表明，我们的提议设法避免虚假事件传播，并且我们框架中的车辆必须对交通事件检测做出贡献才能正常使用交通服务。
通过类似游戏的 BIM 和机器学习混合应用程序对建设项目进行按需监控,虽然不可避免，但检查、进度监控以及建设项目中按计划与竣工条件进行比较并不能轻易地为最终用户增加有形的内在价值。在大型建设项目中，由于以进度表的形式生成的大量数据，监控建筑物每个部分的实施并将其反映在 BIM 模型上的过程可能会变得高度劳动密集且容易出错，报告和照片日志。为了解决上述方法和技术差距，本文提出了一个框架和概念验证原型，用于建筑项目的按需自动化模拟，集成了一些尖端的 IT 解决方案，即图像处理、机器学习、BIM 和虚拟现实.本研究利用 Unity 游戏引擎整合来自原始 BIM 模型和竣工图像的数据，这些数据通过各种计算机视觉技术进行处理。这些方法包括对象识别和语义分割，通过监督训练来识别不同的结构元素，以便将真实世界的图像叠加在计划模型上。所提出的框架导致 3D 虚拟环境与施工现场状态的自动更新。该框架为项目经理和股东提供了先进的决策工具，以有效的方式突出不一致。本文通过为 ML 和图像处理方法与沉浸式和交互式 BIM 界面的集成提供技术范例来促进身体知识，其算法和程序代码可以帮助其他学者复制这些方法。
用于遥感图像中目标检测的旋转感知和多尺度卷积神经网络,目标检测在遥感影像分析领域发挥着重要作用。推进这项任务最具挑战性的问题是物体尺度的巨大变化和物体的任意方向。在本文中，我们在基于区域的卷积神经网络上构建了一个统一的框架，用于遥感图像中的任意方向和多尺度目标检测。为了处理多尺度目标检测问题，提出了一种特征融合架构来生成多尺度特征层次结构，该架构通过自顶向下的路径将浅层的特征与语义表示相结合，并结合顶层的特征图。通过自下而上的路径具有低级信息的层。通过组合不同层次的特征，我们可以为多尺度对象形成强大的特征表示。大多数以前的方法通过轴对齐的框定位具有任意方向和密集空间分布的对象，这些框可能覆盖相邻的实例和背景区域。我们构建了一个旋转感知对象检测器，它使用定向框来定位遥感图像中的对象。区域提议网络使用多个默认角度增强锚点以覆盖定向对象。它利用定向提议框来包围对象，而不是粗略定位定向对象的水平提议。引入定向 RoI 池化操作以提取定向提议的特征图，用于以下 R-CNN 子网络。我们在公共数据集上进行了综合实验，用于遥感图像中的定向目标检测。我们的方法实现了最先进的性能，这证明了所提出方法的有效性。
面向自动驾驶的 ApolloScape 开放数据集及其应用,自动驾驶引起了极大的关注，尤其是在过去几年中。自动驾驶汽车的关键技术包括解决诸如 3D 地图构建、自我定位、解析驾驶道路和理解物体等任务，这些任务使车辆能够推理和行动。然而，用于训练和系统评估的大规模数据集仍然是开发鲁棒感知模型的瓶颈。在本文中，我们介绍了 ApolloScape 数据集 [1] 及其在自动驾驶中的应用。与来自真实场景的现有公共数据集（例如 KITTI [2] 或 Cityscapes [3]）相比，ApolloScape 包含更大更丰富的标签，包括每个站点的整体语义密集点云、立体、每像素语义标签、lanemark 标签、实例分割、3D 汽车实例、来自多个站点、城市和白天的各种驾驶视频中每一帧的高精度定位。对于每个任务，它包含的图像数量至少是 SOTA 数据集的 15 倍。为了标记这样一个完整的数据集，我们为每个任务开发了各种工具和算法来加速标记过程，例如联合 3D-2D 片段标记、视频中的主动标记等。依靠 ApolloScape，我们能够开发联合考虑的算法多项任务的学习和推理。在本文中，我们提供了一种传感器融合方案，集成了摄像头视频、消费级运动传感器 (GPS/IMU) 和 3D 语义地图，以实现自动驾驶的鲁棒自定位和语义分割。我们表明，实际上，传感器融合和多个任务的联合学习有利于实现更强大和更准确的系统。我们希望我们的数据集和提出的相关算法能够支持和激励研究人员在计算机视觉领域进一步发展多传感器融合和多任务学习。
SDDNet：实时裂缝分割,本文报告了一种用于分割图像中混凝土裂缝的纯深度学习方法的发展。目标是实现实时性能，同时有效地消除各种复杂背景和裂纹状特征。为了实现这些目标，提出了一种原始的卷积神经网络。该模型由标准卷积、密集连接的可分离卷积模块、改进的空洞空间金字塔池化模块和解码器模块组成。语义损伤检测网络 (SDDNet) 在手动创建的裂纹数据集上进行训练，训练后的网络在测试集上记录了 0.846 的平均交并比。分析每个测试图像，并呈现具有代表性的分割结果。结果表明，除非特征太微弱，否则 SDDNet 片段会有效地破裂。所提出的模型还与最近的模型进行了比较，结果表明它返回了更好的评估指标，尽管它的参数数量是比较模型的 88 倍。此外，该模型处理 1025 x 512 像素的实时 (36 FPS) 图像，比最近的工作快 46 倍。
语义分割的损失函数调查,图像分割一直是一个活跃的研究领域，因为它具有广泛的应用，从自动疾病检测到自动驾驶汽车。在过去的五年中，各种论文提出了在不同情况下使用的不同目标损失函数，例如有偏数据、稀疏分割等。在本文中，我们总结了一些广泛用于图像分割和列出了使用它们可以帮助模型快速和更好地收敛的情况。此外，我们还引入了一种新的 log-cosh dice 损失函数，并将其在 NBFS 头骨分割开源数据集上的性能与广泛使用的损失函数进行了比较。我们还展示了某些损失函数在所有数据集上都表现良好，并且可以作为未知数据分布场景中的良好基线选择。
