Article Title,"Times Cited, All Databases",Publication Time,Abstract,DOI
基于全卷积网络的航空图像道路提取集成方法,67,2020 OCT 2020,这封信提出了一种基于全卷积网络（FCNs）和集成策略的道路提取方法，以解决航拍图像中道路和背景区域的不平衡问题。通过利用 FCN，我们将道路提取视为语义分割问题。在网络中，由于道路和背景的不平衡，损失函数的权重被修改，如果道路被错误地分类为背景，将会有更大的惩罚。由于很难确定给定图像的损失函数的适当权重，因此提出了一种基于空间一致性（SC）的集成方法。从具有不同损失函数的 FCN 获得的结果图融合在我们提出的集成策略中，这也避免了权重的确定。我们的方法使用马萨诸塞州道路数据集进行了测试，根据我们的实验结果，与基础全卷积模型相比，它被证明是有效的。,10.1109/LGRS.2019.2953523
通过自我监督的无监督域内自适应语义分割,65,2020 2020,基于卷积神经网络的方法在语义分割方面取得了显着进展。然而，这些方法严重依赖于劳动密集型的注释数据。为了应对这一限制，从图形引擎生成的自动注释数据用于训练分割模型。然而，从合成数据训练的模型很难转移到真实图像上。为了解决这个问题，以前的工作已经考虑将模型从源数据直接调整到未标记的目标数据（以减少域间差距）。尽管如此，这些技术并未考虑目标数据本身之间的大分布差距（域内差距）。在这项工作中，我们提出了一种两步自监督域自适应方法，以最小化域间和域内的差距。首先，我们对模型进行域间自适应，从这种自适应中，我们使用基于熵的排序函数将目标域分为简单和硬分割。最后，为了减少域内差距，我们建议采用从易到难子域的自我监督适应技术。许多基准数据集的实验结果突出了我们的方法对现有最先进方法的有效性。源代码可在 https://github.com/feipan664/IntraDA.git 获得。,10.1109/CVPR42600.2020.00382
CGNet：用于语义分割的轻量级上下文引导网络,60,2021 2021,在移动设备上应用语义分割模型的需求一直在快速增长。当前最先进的网络具有大量参数，因此不适合移动设备，而其他小内存占用模型遵循分类网络的精神，忽略了语义分割的固有特征。为了解决这个问题，我们提出了一种新颖的上下文引导网络（CGNet），它是一种用于语义分割的轻量级高效网络。我们首先提出了上下文引导（CG）块，它有效地学习了局部特征和周围上下文的联合特征，并进一步改进了与全局上下文的联合特征。基于 CG 块，我们开发了 CGNet，它在网络的所有阶段捕获上下文信息。 CGNet 是专门为利用语义分割的固有属性和提高分割精度而量身定制的。此外，CGNet 经过精心设计，可减少参数数量并节省内存占用。在相同数量的参数下，所提出的 CGNet 显着优于现有的轻量级分割网络。在 Cityscapes 和 CamVid 数据集上的大量实验验证了所提出方法的有效性。具体来说，在没有任何后处理和多尺度测试的情况下，所提出的 CGNet 在 Cityscapes 上实现了 64.8% 的平均 IoU，且参数少于 0.5 M。,10.1109/TIP.2020.3042065
ASIF-Net：用于 RGB-D 显着目标检测的注意力转向交织融合网络,57,2021 JAN 2021,从 RGB-D 图像中检测显着目标是一项重要但具有挑战性的视觉任务，旨在通过结合颜色信息和深度约束来检测场景中最独特的目标。与先前的融合方式不同，我们提出了一种注意力转向交织融合网络（ASIF-Net）来检测显着对象，该网络通过注意力机制的转向逐步整合了来自 RGB 图像和相应深度图的跨模式和跨级别互补性。具体来说，RGB-D 图像的互补特征被联合提取并以密集和交织的方式分层融合。这种方式打破了跨模态数据存在的不一致障碍，也充分捕捉到了互补性。同时，引入了一种注意力机制，以注意力加权的方式定位潜在的显着区域，在突出显着对象和抑制杂乱的背景区域方面取得了进步。我们不仅关注像素显着性，还通过结合为 RGB-D 显着性对象检测提供全局语义约束的对抗性学习来确保检测到的显着性对象具有对象性特征（例如，完整的结构和清晰的边界）。定量和定性实验表明，所提出的方法在四个公开可用的 RGB-D 显着对象检测数据集上优于 17 个最先进的显着性检测器。我们方法的代码和结果可在 https://github.com/Li-Chongyi/ASIF-Net 获得。,10.1109/TCYB.2020.2969255
基于双向词向量的像素级遥感图像识别,56,2020 FEB 2020,在传统的遥感图像识别中，传统的特征（如颜色特征和纹理特征）不能充分描述复杂的图像，图像像素之间的关系也不能很好的捕捉。使用单个模型或传统的顺序联合模型，在特征挖掘过程中很容易丢失深层特征。本文提出了一种新的特征提取方法，该方法利用自然语言处理中的词嵌入方法生成双向真实密集向量，以反映像素之间的上下文关系。将双向独立循环神经网络（BiIndRNN）与卷积神经网络（CNN）相结合，改进切片循环神经网络（SRNN）算法模型，然后在注意力机制下与图卷积网络（GCN）并行构建充分利用图像的深层特征并捕获上下文的语义信息。该模型统称为改进的 SRNN 和基于注意力处理的基于 GCN 的并行 (SAGP) 模型。在胡杨林上进行的实验表明，所提出的方法在识别准确率方面优于传统方法。在公共数据集上进行的验证也证明了这一点。,10.1109/TGRS.2019.2945591
使用 Transformer 从序列到序列的角度重新思考语义分割,50,2021 2021,最近的语义分割方法采用具有编码器-解码器架构的全卷积网络 (FCN)。编码器逐渐降低空间分辨率并学习更多具有更大感受野的抽象/语义视觉概念。由于上下文建模对于分割至关重要，因此最新的努力集中在通过扩张/空洞卷积或插入注意力模块来增加感受野。然而，基于编码器-解码器的 FCN 架构保持不变。在本文中，我们旨在通过将语义分割视为序列到序列的预测任务来提供另一种视角。具体来说，我们部署了一个纯转换器（即没有卷积和分辨率降低）来将图像编码为一系列补丁。借助在转换器的每一层中建模的全局上下文，该编码器可以与简单的解码器相结合，以提供强大的分割模型，称为 SEgmentation TRansformer (SETR)。大量实验表明，SETR 在 ADE20K (50.28% mIoU)、Pascal Context (55.83% mIoU) 和 Cityscapes 上取得了竞争性结果。特别是在提交当天，我们在竞争激烈的 ADE2OK 测试服务器排行榜中获得了第一名。,10.1109/CVPR46437.2021.00681
基于特征融合模型改进语义图像分割的研究,50,,由于特征的低分辨率以及最大池化层和下采样层的重复组合，图像的上下文信息已经丢失。当使用卷积网络执行特征提取过程时，语义图像分割的结果对对象的位置失去了敏感性。提出了基于逐层上下文特征的特征融合模型的语义图像分割。首先，对原始图像进行高斯核函数预处理，生成一系列不同分辨率的图像，形成图像金字塔。其次，将图像金字塔输入到网络结构中，将多个全卷积网络并行组合，通过使用Atrous Convolutions扩展感受野得到一组不同粒度的初始特征，并进行不同层的特征融合初始化- 自上而下方法中的逐层粒度。最后，计算出特征融合模型的得分图并发送给条件随机场，利用全连接条件随机场对原图像的图像像素之间的类相关性以及图像的空间位置信息和颜色矢量信息进行建模。像素被连接以优化并获得结果。在 PASCAL VOC 2012 和 PASCAL Context 数据集上的实验比最先进的作品取得了更好的平均交叉联合。所提出的方法比传统方法改进了约 6.3%。,10.1007/s12652-020-02066-z
Mask-Refined R-CNN：用于在实例分割中细化对象细节的网络,50,2020 FEB 2020,随着柔性视觉传感器和视觉传感器网络的快速发展，目标检测和跟踪等计算机视觉任务正在进入一个新阶段。因此，包括实例分割在内的更具挑战性的综合任务可以迅速发展。大多数最先进的网络框架，例如分割，都是基于 Mask R-CNN（掩模区域卷积神经网络）。然而，实验结果证实，Mask R-CNN 并不总能成功预测实例细节。 Mask R-CNN 的尺度不变全卷积网络结构忽略了不同大小的感受野之间的空间信息差异。大规模感受野更关注细节信息，而小感受野更关注语义信息。所以网络不能考虑物体边缘像素之间的关系，这些像素就会被错误分类。为了克服这个问题，提出了Mask-Refined R-CNN（MR R-CNN），其中对ROIAlign（region of interest align）的stride进行了调整。此外，将原来的全卷积层替换为新的语义分割层，通过构建特征金字塔网络，将相同分辨率的特征图的前向和后向传输相加，实现特征融合。通过结合关注全局和详细信息的特征层，可以显着提高分割精度。在 COCO（Common Objects in Context）和 Cityscapes 数据集上的实验结果表明，MR R-CNN 的分割精度比使用相同主干的 Mask R-CNN 高 2% 左右。大实例的平均精度达到 56.6%，高于所有最先进的方法。此外，所提出的方法所需的时间成本低且易于实施。在 Cityscapes 数据集上的实验也证明了所提出的方法具有很强的泛化能力。,10.3390/s20041010
基于全卷积网络的多标签遥感图像检索,48,2020 2020,传统的遥感图像检索 (RSIR) 系统通常执行单标签检索，其中每个图像都由表示图像最重要语义内容的单个标签进行注释。然而，在这种情况下，遥感图像的场景复杂性被忽略了，其中图像可能有多个类别（即多个标签），导致检索性能不佳。因此，我们提出了一种基于全卷积网络 (FCN) 的新型多标签 RSIR 方法。具体来说，首先训练 FCN 以预测所考虑的图像存档中每个图像的分割图。然后我们获得多标签向量并根据其分割图提取每个图像的区域卷积特征。提取的区域特征最终用于执行基于区域的多标签检索。实验结果表明，与手工和卷积神经网络特征相比，我们的方法实现了最先进的性能。,10.1109/JSTARS.2019.2961634
场景分割的上下文先验,46,2020 2020,最近的工作广泛探索了上下文依赖关系，以实现更准确的分割结果。然而，大多数方法很少区分不同类型的上下文依赖关系，这可能会污染场景理解。在这项工作中，我们直接监督特征聚合以清楚地区分类内和类间上下文。具体来说，我们在 Affinity Loss 的监督下开发了一个 Context Prior。给定输入图像和相应的基本事实，Affinity Loss 构建一个理想的亲和图来监督 Context Prior 的学习。学习的上下文先验提取属于同一类别的像素，而反向先验则关注不同类别的像素。嵌入到传统的深度 CNN 中，所提出的上下文先验层可以选择性地捕获类内和类间的上下文依赖关系，从而实现鲁棒的特征表示。为了验证有效性，我们设计了一个有效的上下文先验网络（CPNet）。广泛的定量和定性评估表明，所提出的模型优于最先进的语义分割方法。更具体地说，我们的算法在 ADE20K 上达到 46.3% mIoU，在 PASCAL-Context 上达到 53.9% mIoU，在 Cityscapes 上达到 81.3% mIoU。代码可在 https://git.io/ContextPrior 获得。,10.1109/CVPR42600.2020.01243
具有双重关系感知注意网络的场景分割,45,2021 JUN 2021,在本文中，我们提出了一个双关系感知注意网络 (DRANet) 来处理场景分割任务。如何有效地利用上下文对于像素级识别至关重要。为了解决这个问题，我们基于关系感知注意机制自适应地捕获上下文信息。特别是，我们在扩张的全卷积网络（FCN）的顶部附加了两种类型的注意力模块，它们分别对空间和通道维度的上下文依赖关系进行建模。在注意力模块中，我们采用自注意力机制来模拟任意两个像素或通道之间的语义关联。每个像素或通道可以根据它们的相关性自适应地聚合来自所有像素或通道的上下文。为了降低上述成对关联计算带来的高计算和内存成本，我们进一步设计了两种紧凑的注意力模块。在紧凑的注意力模块中，每个像素或通道仅与少数几个聚集中心建立关联，并在这些聚集中心上获得相应的上下文聚合。同时，我们添加了一个跨级门控解码器，以选择性地增强空间细节，从而提高网络的性能。我们进行了广泛的实验来验证我们网络的有效性，并在四个具有挑战性的场景分割数据集（即 Cityscapes、ADE20K、PASCAL Context 和 COCO Stuff 数据集）上实现新的最先进的分割性能。特别是，在 Cityscapes 测试集上的平均 IoU 得分为 82.9%，而无需使用额外粗略的注释数据。,10.1109/TNNLS.2020.3006524
关系问题：关系上下文感知全卷积网络用于高分辨率航空图像的语义分割,45,2020 NOV 2020,当前大多数语义分割方法都依赖于深度卷积神经网络（CNN）。然而，他们使用带有局部感受野的卷积运算导致建模上下文空间关系的失败。先前的工作试图通过在网络中使用图形模型或空间传播模块来解决这个问题。但此类模型通常无法捕捉实体之间的远程空间关系，从而导致空间碎片化的预测。此外，最近的工作表明，通道信息在 CNN 中也起着关键作用。在本文中，我们介绍了两个简单而有效的网络单元，空间关系模块和通道关系模块来学习和推理任意两个空间位置或特征图之间的全局关系，然后生成关系增强 (RA) 特征表示.空间和通道关系模块具有通用性和可扩展性，可以与现有的完全卷积网络（FCN）框架以即插即用的方式使用。我们使用两个航拍图像数据集，即国际摄影测量与遥感学会 (ISPRS) Vaihingen 和 Potsdam 数据集，在语义分割任务上评估配备关系模块的网络，它们从根本上依赖于远程空间关系推理。这些网络取得了非常有竞争力的结果，在 Vaihingen 数据集上的平均 F1 得分为 88.54%，在 Potsdam 数据集上的平均 F1 得分为 88.01%，与基线相比有了显着的改进。,10.1109/TGRS.2020.2979552
CCNet：语义分割的交叉注意力。,44,2020 2020-Jul-03,上下文信息在视觉理解问题中至关重要，例如语义分割和对象检测。我们提出了一个纵横交错网络（CCNet），用于以非常有效和高效的方式获取全图像上下文信息。具体来说，对于每个像素，一个新的交叉注意力模块会收集其交叉路径上所有像素的上下文信息。通过进一步的循环操作，每个像素最终都可以捕获全图像的依赖关系。此外，提出了一个类别一致的损失来强制交叉注意力模块产生更多的判别特征。总体而言，CCNet 具有以下优点：1）GPU 内存友好。与非局部块相比，所提出的循环交叉注意力模块需要的 GPU 内存使用量减少 11 倍。 2）计算效率高。反复出现的交叉注意力显着减少了非局部块的 85% 左右的 FLOP。 3) 最先进的性能。我们对语义分割基准进行了广泛的实验，包括 Cityscapes、ADE20K、人类解析基准 LIP、实例分割基准 COCO、视频分割基准 CamVid。特别是，我们的 CCNet 在 Cityscapes 测试集、ADE20K 验证集和 LIP 验证集上分别取得了 81.9%、45.76% 和 55.47% 的 mIoU 分数，这是新的最先进的结果。源代码可在 https://github.com/speedinghzl/CCNet 获得。,10.1109/TPAMI.2020.3007032
边缘深度学习：使用卷积神经网络从卫星图像中提取场边界,43,2020 AUG 2020,数字农业服务的应用通常需要农民或其顾问提供其田间边界的数字记录。从卫星图像中自动提取田界边界将减少对这些记录的人工输入的依赖，因为人工输入是耗时的，并且将支持远程产品和服务的提供。当前字段边界数据集的缺乏似乎表明现有方法的采用率较低，这可能是因为昂贵的图像预处理要求和局部的（通常是任意的）调整。在本文中，我们提出了一种数据驱动、稳健且通用的方法，以促进从卫星图像中提取场边界。我们将此任务表述为多任务语义分割问题。我们使用了 ResUNet-a，这是一种具有完全连接的 UNet 主干的深度卷积神经网络，具有扩张卷积和条件推理的特点，以识别：1）场的范围； 2) 领域边界； 3) 到最近边界的距离。通过要求算法重构三个相关的输出，模型的性能和泛化能力大大提高。然后通过对三个模型输出进行后处理（例如，通过阈值处理或分水岭分割）来实现各个字段的分割。使用来自 Sentinel-2 的单个月度合成图像作为输入，我们的模型在映射字段范围、字段边界以及因此单个字段方面非常准确。用接近合成周期的单日期图像替换每月合成图像会略微降低准确性。然后，我们在一系列实验中表明，无需重新校准，相同的模型在分辨率（10 m 到 30 m）、传感器（Sentinel-2 到 Landsat-8）、空间和时间上都能很好地推广。通过平均从整个季节获得的至少四张图像的模型预测来建立共识对于减少准确性的时间变化至关重要。我们的卷积神经网络能够从图像中学习复杂的分层上下文特征，以准确检测字段边界并丢弃不相关的边界，从而优于传统的边缘滤波器。通过最小化过度拟合和图像预处理要求，并通过用数据驱动的决策替换局部任意决策，我们的方法有望促进大规模提取单个农田。,10.1016/j.rse.2020.111741
遥感图像语义分割的多尺度上下文聚合,42,2020 FEB 2020,遥感图像（RSI）的语义分割在各种应用中都很重要。传统的基于编码器-解码器的卷积神经网络 (CNN) 使用级联池化操作来聚合语义信息，这会导致定位精度的损失和空间细节的保留。为了克服这些限制，我们引入了使用高分辨率网络（HRNet）在没有解码阶段的情况下产生高分辨率特征。此外，我们分别增强了从不同分支中提取的从低到高的特征，以加强与尺度相关的上下文信息的嵌入。低分辨率特征包含更多的语义信息，空间尺寸较小；因此，它们被用来模拟长期空间相关性。通过引入自适应空间池 (ASP) 模块来聚合更多本地上下文，可以增强高分辨率分支。通过在不同层次上结合这些上下文聚合设计，最终的架构能够在全局和局部层次上利用空间上下文。在两个 RSI 数据集上获得的实验结果表明，我们的方法显着提高了常用 CNN 的准确性，并实现了最先进的性能。,10.3390/rs12040701
基于改进Faster-RCNN模型的目标识别多尺度目标语义分割,41,2021 OCT 2021,图像语义分割在计算机视觉中受到了极大的关注，其目的是对不同的对象进行分割，并为其提供不同的语义类别标签，使计算机能够充分获取场景的语义信息。然而，目前的研究主要集中在彩色图像数据作为训练，用于户外场景和单任务语义分割。本文基于改进的 Faster-RCNN 算法，利用 RGB-D 图像信息，在复杂的室内环境中进行多任务语义分割模型联合目标检测，可同时实现室内场景语义分割、目标分类和检测多视觉任务。其中，针对环境中光照不均的影响，改进了RGB图像与深度图像融合的方法。在增强融合图像特征信息的同时，也提高了模型训练的效率。同时，为了满足对多尺度目标对象进行操作的需要，对非极大值抑制算法进行了改进，以提高模型的性能。为了实现模型多任务信息的输出，损失函数也进行了重新设计和优化。本文构建的室内场景语义分割模型不仅性能好、效率高，而且能够清晰地分割不同尺度物体的轮廓，适应室内光照不均匀的环境。 (C) 2021 年 Elsevier BV 出版,10.1016/j.future.2021.04.019
具有上下文编码和多路径解码的语义分割,40,2020 2020,语义图像分割旨在将场景图像的每个像素分类为多个类别之一。它隐含地涉及对象识别、定位和边界描绘。在本文中，我们提出了一种称为 CGBNet 的分割网络，通过上下文编码和多路径解码来提高分割性能。我们首先提出了一个上下文编码模块，该模块生成上下文对比的局部特征，以利用信息上下文和有区别的局部信息。这个上下文编码模块极大地提高了分割性能，特别是对于不显眼的对象。此外，我们提出了一种尺度选择方案，可以选择性地融合每个空间位置不同尺度特征的分割结果。它自适应地从丰富的特征尺度中选择合适的分数图。为了提高边界处的分割性能结果，我们进一步提出了一个边界描绘模块，该模块鼓励边界附近的特定位置的非常低级特征参与最终预测，并在远离边界的地方抑制它们。所提出的分割网络在六个流行的场景分割数据集、Pascal Context、SUN-RGBD、Sift Flow、COCO Stuff、ADE20K 和 Cityscapes 上，在所有三个不同的评估指标方面都取得了非常有竞争力的性能。,10.1109/TIP.2019.2962685
基于具有注意块和多个损失的 U-Net 的建筑物提取,39,2020 MAY 2020,高分辨率遥感图像的语义分割在建筑物提取的应用中起着重要作用。然而，目前的算法存在一些语义信息提取的局限性，这些都会导致分割结果不佳。为了以高精度提取建筑物，我们提出了一种基于注意力的多损失神经网络。所设计的网络，基于 U-Net，可以通过注意力块提高模型的敏感性，抑制不相关特征区域的背景影响。为了提高模型的能力，在训练网络时提出了一种多损失方法。实验结果表明，所提出的模型比其他最先进的方法有了很大的改进。对于公开的 Inria Aerial Image Labeling 数据集，F1 得分达到 76.96%，在 Aerial Imagery for Roof Segmentation 数据集上表现出良好的性能。,10.3390/rs12091400
