Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Supplement,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration ,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD ","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,UT (Unique ID),Pubmed Id,
C,"Pan, Fei; Shin, Inkyu; Rameau, Francois; Lee, Seokju; Kweon, In So",,,IEEE,"Lee, Seokju/ABD-4821-2021","Lee, Seokju/0000-0002-8692-7653",,,Unsupervised Intra-domain Adaptation for Semantic Segmentation through Self-Supervision,,,,,,,,2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),,IEEE Conference on Computer Vision and Pattern Recognition,,,,,,3763,3772,,10.1109/CVPR42600.2020.00382,,,,2020,2020,"Convolutional neural network-based approaches have achieved remarkable progress in semantic segmentation. However, these approaches heavily rely on annotated data which are labor intensive. To cope with this limitation, automatically annotated data generated from graphic engines are used to train segmentation models. However, the models trained from synthetic data are difficult to transfer to real images. To tackle this issue, previous works have considered directly adapting models from the source data to the unlabeled target data (to reduce the inter-domain gap). Nonetheless, these techniques do not consider the large distribution gap among the target data itself (intra-domain gap). In this work, we propose a two-step self-supervised domain adaptation approach to minimize the inter-domain and intra-domain gap together. First, we conduct the inter-domain adaptation of the model, from this adaptation, we separate target domain into an easy and hard split using an entropy-based ranking function. Finally, to decrease the intra-domain gap, we propose to employ a self-supervised adaptation technique from the easy to the hard subdomain. Experimental results on numerous benchmark datasets highlight the effectiveness of our method against existing state-of-the-art approaches. The source code is available at https://github.com/feipan664/IntraDA.git.",,,,,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"JUN 14-19, 2020JUN 14-19, 2020",IEEE; CVFIEEE; CVF,ELECTR NETWORKELECTR NETWORK,65,0,0,0,3,0,65,,,1063-6919,,978-1-7281-7168-5,WOS:000620679504004,,
C,"Rosinol, Antoni; Abate, Marcus; Chang, Yun; Carlone, Luca",,,IEEE,,"Chang, Yun/0000-0002-2829-5256",,,Kimera: an Open-Source Library for Real-Time Metric-Semantic Localization and Mapping,,,,,,,,2020 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),,IEEE International Conference on Robotics and Automation ICRA,,,,,,1689,1696,,,,,,2020,2020,"We provide an open-source C++ library for real-time metric-semantic visual-inertial Simultaneous Localization And Mapping (SLAM). The library goes beyond existing visual and visual-inertial SLAM libraries (e.g., ORB-SLAM, VINS-Mono, OKVIS, ROVIO) by enabling mesh reconstruction and semantic labeling in 3D. Kimera is designed with modularity in mind and has four key components: a visual-inertial odometry (VIO) module for fast and accurate state estimation, a robust pose graph optimizer for global trajectory estimation, a lightweight 3D mesher module for fast mesh reconstruction, and a dense 3D metric-semantic reconstruction module. The modules can be run in isolation or in combination, hence Kimera can easily fall back to a state-of-the-art VIO or a full SLAM system. Kimera runs in real-time on a CPU and produces a 3D metric-semantic mesh from semantically labeled images, which can be obtained by modern deep learning methods. We hope that the flexibility, computational efficiency, robustness, and accuracy afforded by Kimera will build a solid basis for future metric-semantic SLAM and perception research, and will allow researchers across multiple areas (e.g., VIO, SLAM, 3D reconstruction, segmentation) to benchmark and prototype their own efforts without having to start from scratch.",,,,,IEEE International Conference on Robotics and Automation (ICRA)IEEE International Conference on Robotics and Automation (ICRA),"MAY 31-JUN 15, 2020MAY 31-JUN 15, 2020",IEEEIEEE,ELECTR NETWORKELECTR NETWORK,63,2,0,0,0,0,65,,,1050-4729,2577-087X,978-1-7281-7395-5,WOS:000712319501044,,
J,"Boulch, Alexandre",,,,,,,,ConvPoint: Continuous convolutions for point cloud processing,,,,,,,,COMPUTERS & GRAPHICS-UK,,,,88,,,,24,34,,10.1016/j.cag.2020.02.005,,,,MAY 2020,2020,"Point clouds are unstructured and unordered data, as opposed to images. Thus, most machine learning approach developed for image cannot be directly transferred to point clouds. In this paper, we propose a generalization of discrete convolutional neural networks (CNNs) in order to deal with point clouds by replacing discrete kernels by continuous ones. This formulation is simple, allows arbitrary point cloud sizes and can easily be used for designing neural networks similarly to 2D CNNs. We present experimental results with various architectures, highlighting the flexibility of the proposed approach. We obtain competitive results compared to the state-of-the-art on shape classification, part segmentation and semantic segmentation for large-scale point clouds. (C) 2020 Elsevier Ltd. All rights reserved.",,,,,,,,,59,7,0,0,0,0,64,,,0097-8493,1873-7684,,WOS:000534375700006,,
J,"Zhang, Ziang; Wu, Chengdong; Coleman, Sonya; Kerr, Dermot",,,,,"Coleman, Sonya/0000-0002-4676-7640",,,DENSE-INception U -net for medical image segmentation,,,,,,,,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,,,,192,,,,,,105395,10.1016/j.cmpb.2020.105395,,,,AUG 2020,2020,,,,,,,,,,54,7,0,0,14,0,61,,,0169-2607,1872-7565,,WOS:000540460400012,32163817,
J,"Wu, Tianyi; Tang, Sheng; Zhang, Rui; Cao, Juan; Zhang, Yongdong",,,,"Tang, Sheng/L-5792-2013","Tang, Sheng/0000-0003-3573-2407; Wu, Tianyi/0000-0001-7434-0487",,,CGNet: A Light-Weight Context Guided Network for Semantic Segmentation,,,,,,,,IEEE TRANSACTIONS ON IMAGE PROCESSING,,,,30,,,,1169,1179,,10.1109/TIP.2020.3042065,,,,2021,2021,"The demand of applying semantic segmentation model on mobile devices has been increasing rapidly. Current state-of-the-art networks have enormous amount of parameters hence unsuitable for mobile devices, while other small memory footprint models follow the spirit of classification network and ignore the inherent characteristic of semantic segmentation. To tackle this problem, we propose a novel Context Guided Network (CGNet), which is a light-weight and efficient network for semantic segmentation. We first propose the Context Guided (CG) block, which learns the joint feature of both local feature and surrounding context effectively and efficiently, and further improves the joint feature with the global context. Based on the CG block, we develop CGNet which captures contextual information in all stages of the network. CGNet is specially tailored to exploit the inherent property of semantic segmentation and increase the segmentation accuracy. Moreover, CGNet is elaborately designed to reduce the number of parameters and save memory footprint. Under an equivalent number of parameters, the proposed CGNet significantly outperforms existing light-weight segmentation networks. Extensive experiments on Cityscapes and CamVid datasets verify the effectiveness of the proposed approach. Specifically, without any post-processing and multi-scale testing, the proposed CGNet achieves 64.8% mean IoU on Cityscapes with less than 0.5 M parameters.",,,,,,,,,58,2,0,0,1,0,60,,,1057-7149,1941-0042,,WOS:000600835900003,33306466,
J,"Huang, Qinghua; Huang, Yonghao; Luo, Yaozhong; Yuan, Feiniu; Li, Xuelong",,,,"Li, Xuelong/ABF-3381-2020","Huang, Qinghua/0000-0003-1080-6940",,,Segmentation of breast ultrasound image with semantic classification of superpixels,,,,,,,,MEDICAL IMAGE ANALYSIS,,,,61,,,,,,101657,10.1016/j.media.2020.101657,,,,APR 2020,2020,"Breast cancer is a great threat to females. Ultrasound imaging has been applied extensively in diagnosis of breast cancer. Due to the poor image quality, segmentation of breast ultrasound (BUS) image remains a very challenging task. Besides, BUS image segmentation is a crucial step for further analysis. In this paper, we proposed a novel method to segment the breast tumor via semantic classification and merging patches. The proposed method firstly selects two diagonal points to crop a region of interest (ROI) on the original image. Then, histogram equalization, bilateral filter and pyramid mean shift filter are adopted to enhance the image. The cropped image is divided into many superpixels using simple linear iterative clustering (SLIC). Furthermore, some features are extracted from the superpixels and a bag-of-words model can be created. The initial classification can be obtained by a back propagation neural network (BPNN). To refine preliminary result, k-nearest neighbor (KNN) is used for reclassification and the final result is achieved. To verify the proposed method, we collected a BUS dataset containing 320 cases. The segmentation results of our method have been compared with the corresponding results obtained by five existing approaches. The experimental results show that our method achieved competitive results compared to conventional methods in terms of TP and FP, and produced good approximations to the hand-labelled tumor contours with comprehensive consideration of all metrics (the F1-score = 89.87% +/- 4.05%, and the average radial error = 9.95% +/- 4.42%). (C) 2020 Elsevier B.V. All rights reserved.",,,,,,,,,58,2,0,0,8,0,60,,,1361-8415,1361-8423,,WOS:000521115200012,32032899,
J,"Ju, Huyan; Li, Wei; Tighe, Susan; Xu, Zhengchao; Zhai, Junzhi",,,,"huyan, ju/ABG-8865-2020","huyan, ju/0000-0002-5292-9896; Li, Wei/0000-0003-4508-3076",,,CrackU-net: A novel deep convolutional neural network for pixelwise pavement crack detection,,,,,,,,STRUCTURAL CONTROL & HEALTH MONITORING,,,,27,8,,,,,e2551,10.1002/stc.2551,,MAR 2020,,AUG 2020,2020,"Periodic road crack monitoring is an essential procedure for effective pavement management. Highly efficient and accurate crack measurements are key research topics in both academia and industry. Automatic methods gradually replaced traditional manual surveys for more reliable evaluation outputs and better efficiency, whereas the devices are not available to all functional classes of pavements and different departments considering the high cost versus the limited budget. Recently, the widespread use of smartphones and digital cameras made it possible to collect pavement surface crack images at an affordable price in easier ways. However, the qualities of these crack images are diversely influenced by the noises from pavement background, roadways, and so forth. Thus, traditional methods usually fail to extract accurate crack information from pavement images. Therefore, this research proposes a state-of-the-art pixelwise crack detection architecture called CrackU-net, which is featured by its utilization of advanced deep convolutional neural network technology. CrackU-net achieved pixelwise crack detection through convolution, pooling, transpose convolution, and concatenation operations, forming the U-shaped model architecture. The model is trained and validated by 3,000 pavement crack images, in which 2,400 for training and 600 for validating, using the Adam algorithm. CrackU-net has the performance of loss = 0.025, accuracy = 0.9901, precision = 0.9856, recall = 0.9798, and F-measure = 0.9842 with learning rate of 10(-2). Meanwhile, the false-positive crack detection problem is avoided in CrackU-net. Therefore, CrackU-net outperforms both traditional approaches and fully convolutional network (FCN) and U-net for pixelwise crack detections.",,,,,,,,,59,1,0,0,0,0,59,,,1545-2255,1545-2263,,WOS:000521535100001,,
C,"Jha, Debesh; Smedsrud, Pia H.; Riegler, Michael A.; Halvorsen, Pal; de Lange, Thomas; Johansen, Dag; Johansen, Havard D.",,,,"Riegler, Michael A/E-5443-2015; de Lange, Thomas/Q-9063-2016","Riegler, Michael A/0000-0002-3153-2064; de Lange, Thomas/0000-0003-3989-7487; Jha, Debesh/0000-0002-8078-6730","Ro, YM; Cheng, WH; Kim, J; Chu, WT; Cui, P; Choi, JW; Hu, MC; DeNeve, W",,Kvasir-SEG: A Segmented Polyp Dataset,,,,,,,,"MULTIMEDIA MODELING (MMM 2020), PT II",,Lecture Notes in Computer Science,,11962,,,,451,462,,10.1007/978-3-030-37734-2_37,,,,2020,2020,"Pixel-wise image segmentation is a highly demanding task in medical-image analysis. In practice, it is difficult to find annotated medical images with corresponding segmentation masks. In this paper, we present Kvasir-SEG: an open-access dataset of gastrointestinal polyp images and corresponding segmentation masks, manually annotated by a medical doctor and then verified by an experienced gastroenterologist. Moreover, we also generated the bounding boxes of the polyp regions with the help of segmentation masks. We demonstrate the use of our dataset with a traditional segmentation approach and a modern deep-learning based Convolutional Neural Network (CNN) approach. The dataset will be of value for researchers to reproduce results and compare methods. By adding segmentation masks to the Kvasir dataset, which only provide frame-wise annotations, we enable multimedia and computer vision researchers to contribute in the field of polyp segmentation and automatic analysis of colonoscopy images.",,,,,26th International Conference on MultiMedia Modeling (MMM)26th International Conference on MultiMedia Modeling (MMM),"JAN 05-08, 2020JAN 05-08, 2020",,"Daejeon, SOUTH KOREADaejeon, SOUTH KOREA",58,1,0,0,9,0,59,,,0302-9743,1611-3349,978-3-030-37734-2; 978-3-030-37733-5,WOS:000611566100037,,
B,Yude Wang; Jie Zhang; Meina Kan; Shiguang Shan; Xilin Chen,,,,,"Shan, Shiguang/0000-0002-8348-392X",,,Self-Supervised Equivariant Attention Mechanism for Weakly Supervised Semantic Segmentation,,,,,,,,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR). Proceedings,,,,,,,,12272,81,,10.1109/CVPR42600.2020.01229,,,,2020,2020,"Image-level weakly supervised semantic segmentation is a challenging problem that has been deeply studied in recent years. Most of advanced solutions exploit class activation map (CAM). However, CAMs can hardly serve as the object mask due to the gap between full and weak supervisions. In this paper, we propose a self-supervised equivariant attention mechanism (SEAM) to discover additional supervision and narrow the gap. Our method is based on the observation that equivariance is an implicit constraint in fully supervised semantic segmentation, whose pixel-level labels take the same spatial transformation as the input images during data augmentation. However, this constraint is lost on the CAMs trained by image-level supervision. Therefore, we propose consistency regularization on predicted CAMs from various transformed images to provide self-supervision for network learning. Moreover, we propose a pixel correlation module (PCM), which exploits context appearance information and refines the prediction of current pixel by its similar neighbors, leading to further improvement on CAMs consistency. Extensive experiments on PASCAL VOC 2012 dataset demonstrate our method outperforms state-of-the-art methods using the same level of supervision. The code is released online.",,,,,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),13-19 June 202013-19 June 2020,,"Seattle, WA, USASeattle, WA, USA",57,3,0,0,2,0,59,,,,,978-1-7281-7168-5,INSPEC:19873955,,
J,"Prakash, Nikhil; Manconi, Andrea; Loew, Simon",,,,"; Manconi, Andrea/B-8367-2009","Prakash, Nikhil/0000-0002-5216-5881; Manconi, Andrea/0000-0003-2930-4422; Loew, Simon/0000-0003-4014-1425",,,Mapping Landslides on EO Data: Performance of Deep Learning Models vs. Traditional Machine Learning Models,,,,,,,,REMOTE SENSING,,,,12,3,,,,,346,10.3390/rs12030346,,,,FEB 2020,2020,"Mapping landslides using automated methods is a challenging task, which is still largely done using human efforts. Today, the availability of high-resolution EO data products is increasing exponentially, and one of the targets is to exploit this data source for the rapid generation of landslide inventory. Conventional methods like pixel-based and object-based machine learning strategies have been studied extensively in the last decade. In addition, recent advances in CNN (convolutional neural network), a type of deep-learning method, has been widely successful in extracting information from images and have outperformed other conventional learning methods. In the last few years, there have been only a few attempts to adapt CNN for landslide mapping. In this study, we introduce a modified U-Net model for semantic segmentation of landslides at a regional scale from EO data using ResNet34 blocks for feature extraction. We also compare this with conventional pixel-based and object-based methods. The experiment was done in Douglas County, a study area selected in the south of Portland in Oregon, USA, and landslide inventory extracted from SLIDO (Statewide Landslide Information Database of Oregon) was considered as the ground truth. Landslide mapping is an imbalanced learning problem with very limited availability of training data. Our network was trained on a combination of focal Tversky loss and cross-entropy loss functions using augmented image tiles sampled from a selected training area. The deep-learning method was observed to have a better performance than the conventional methods with an MCC (Matthews correlation coefficient) score of 0.495 and a POD (probability of detection) rate of 0.72.",,,,,,,,,56,3,0,0,5,0,58,,,,2072-4292,,WOS:000515393800005,,
J,"Li, Chongyi; Cong, Runmin; Kwong, Sam; Hou, Junhui; Fu, Huazhu; Zhu, Guopu; Zhang, Dingwen; Huang, Qingming",,,,"Fu, Huazhu/A-1411-2014; Zhang, Dingwen/S-9447-2017; , sam/C-9319-2012","Fu, Huazhu/0000-0002-9702-5524; Hou, Junhui/0000-0003-3431-2021; Zhu, Guopu/0000-0001-7956-5343; Zhang, Dingwen/0000-0001-8369-8886; , sam/0000-0001-7484-7261",,,ASIF-Net: Attention Steered Interweave Fusion Network for RGB-D Salient Object Detection,,,,,,,,IEEE TRANSACTIONS ON CYBERNETICS,,,,51,1,,,88,100,,10.1109/TCYB.2020.2969255,,,,JAN 2021,2021,"Salient object detection from RGB-D images is an important yet challenging vision task, which aims at detecting the most distinctive objects in a scene by combining color information and depth constraints. Unlike prior fusion manners, we propose an attention steered interweave fusion network (ASIF-Net) to detect salient objects, which progressively integrates cross-modal and cross-level complementarity from the RGB image and corresponding depth map via steering of an attention mechanism. Specifically, the complementary features from RGB-D images are jointly extracted and hierarchically fused in a dense and interweaved manner. Such a manner breaks down the barriers of inconsistency existing in the cross-modal data and also sufficiently captures the complementarity. Meanwhile, an attention mechanism is introduced to locate the potential salient regions in an attention-weighted fashion, which advances in highlighting the salient objects and suppressing the cluttered background regions. Instead of focusing only on pixelwise saliency, we also ensure that the detected salient objects have the objectness characteristics (e.g., complete structure and sharp boundary) by incorporating the adversarial learning that provides a global semantic constraint for RGB-D salient object detection. Quantitative and qualitative experiments demonstrate that the proposed method performs favorably against 17 state-of-the-art saliency detectors on four publicly available RGB-D salient object detection datasets. The code and results of our method are available at https://github.com/Li-Chongyi/ASIF-Net.",,,,,,,,,57,2,0,0,1,0,57,,,2168-2267,2168-2275,,WOS:000602709000008,32078571,
C,"Yang, Yanchao; Soatto, Stefano",,,IEEE,,,,,FDA: Fourier Domain Adaptation for Semantic Segmentation,,,,,,,,2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),,IEEE Conference on Computer Vision and Pattern Recognition,,,,,,4084,4094,,10.1109/CVPR42600.2020.00414,,,,2020,2020,"We describe a simple method for unsupervised domain adaptation, whereby the discrepancy between the source and target distributions is reduced by swapping the low-frequency spectrum of one with the other. We illustrate the method in semantic segmentation, where densely annotated images are aplenty in one domain (e.g., synthetic data), but difficult to obtain in another (e.g., real images). Current state-of-the-art methods are complex, some requiring adversarial optimization to render the backbone of a neural network invariant to the discrete domain selection variable. Our method does not require any training to perform the domain alignment, just a simple Fourier Transform and its inverse. Despite its simplicity, it achieves state-of-the-art performance in the current benchmarks, when integrated into a relatively standard semantic segmentation model. Our results indicate that even simple procedures can discount nuisance variability in the data that more sophisticated methods struggle to learn away.(1)",,,,,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"JUN 14-19, 2020JUN 14-19, 2020",IEEE; CVFIEEE; CVF,ELECTR NETWORKELECTR NETWORK,57,0,0,0,4,0,57,,,1063-6919,,978-1-7281-7168-5,WOS:000620679504036,,
J,"Wang, Zhao; Liu, Quande; Dou, Qi",,,,"Wang, Zhao/AAG-2483-2021; Wang, Zhao/ABE-7750-2021; Wang, Zhao/AAG-2474-2021","Wang, Zhao/0000-0003-1860-8391; Liu, Quande/0000-0002-3921-5960",,,Contrastive Cross-Site Learning With Redesigned Net for COVID-19 CT Classification,,,,,,,,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,,,,24,10,,,2806,2813,,10.1109/JBHI.2020.3023246,,,,OCT 2020,2020,"The pandemic of coronavirus disease 2019 (COVID-19) has lead to a global public health crisis spreading hundreds of countries. With the continuous growth of new infections, developing automated tools for COVID-19 identification with CT image is highly desired to assist the clinical diagnosis and reduce the tedious workload of image interpretation. To enlarge the datasets for developing machine learning methods, it is essentially helpful to aggregate the cases from different medical systems for learning robust and generalizable models. This paper proposes a novel joint learning framework to perform accurate COVID-19 identification by effectively learning with heterogeneous datasets with distribution discrepancy. We build a powerful backbone by redesigning the recently proposed COVID-Net in aspects of network architecture and learning strategy to improve the prediction accuracy and learning efficiency. On top of our improved backbone, we further explicitly tackle the cross-site domain shift by conducting separate feature normalization in latent space. Moreover, we propose to use a contrastive training objective to enhance the domain invariance of semantic embeddings for boosting the classification performance on each dataset. We develop and evaluate our method with two public large-scale COVID-19 diagnosis datasets made up of CT images. Extensive experiments show that our approach consistently improves the performanceson both datasets, outperforming the original COVID-Net trained on each dataset by 12.16% and 14.23% in AUC respectively, also exceeding existing state-of-the-art multi-site learning methods.",,,,,,,,,55,1,0,0,13,0,56,,,2168-2194,2168-2208,,WOS:000576429900009,32915751,
J,"Yo, Hongfeng; Tian, Shengwei; Yu, Long; Lv, Yalong",,,,,"You, Hongfeng/0000-0001-9202-7611",,,Pixel-Level Remote Sensing Image Recognition Based on Bidirectional Word Vectors,,,,,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,,,58,2,,,1281,1293,,10.1109/TGRS.2019.2945591,,,,FEB 2020,2020,"In the traditional remote sensing image recognition, the traditional features (e.g., color features and texture features) cannot fully describe complex images, and the relationships between image pixels cannot be captured well. Using a single model or a traditional sequential joint model, it is easy to lose deep features during feature mining. This article proposes a new feature extraction method that uses the word embedding method from natural language processing to generate bidirectional real dense vectors to reflect the contextual relationships between the pixels. A bidirectional independent recurrent neural network (BiIndRNN) is combined with a convolutional neural network (CNN) to improve the sliced recurrent neural network (SRNN) algorithm model, which is then constructed in parallel with graph convolutional networks (GCNs) under an attention mechanism to fully exploit the deep features of images and to capture the semantic information of the context. This model is collectively named an improved SRNN and attention-treated GCN-based parallel (SAGP) model. Experiments conducted on Populus euphratica forests demonstrate that the proposed method outperforms traditional methods in terms of recognition accuracy. The validation done on public data set also proved it.",,,,,,,,,55,2,0,0,1,0,56,,,0196-2892,1558-0644,,WOS:000510710600042,,
J,"Chen, Mingyou; Tang, Yunchao; Zou, Xiangjun; Huang, Kuangyu; Huang, Zhaofeng; Zhou, Hao; Wang, Chenglin; Lian, Guoping",,,,"zou, xiangjun/ABG-6926-2021; Tang, Yunchao/T-6632-2019","zou, xiangjun/0000-0001-5146-599X; Tang, Yunchao/0000-0002-6178-4457",,,Three-dimensional perception of orchard banana central stock enhanced by adaptive multi-vision technology,,,,,,,,COMPUTERS AND ELECTRONICS IN AGRICULTURE,,,,174,,,,,,105508,10.1016/j.compag.2020.105508,,,,JUL 2020,2020,"Automatic vision-based picking in orchards and fields is a highly challenging task. The orchard banana central stock, which is large in size, low in color contrast, and falls within a complex background, was taken as the subject in this research. A measurement framework based on multi-vision technology was established, and a set of general methods were utilized to improve the comprehensive performance of multi-view-geometry-based vision modules in orchard picking tasks. Multiple cameras at different angles were deployed to maximize the perception range. The global geometric parameters of the cameras were calibrated and a robust semantic segmentation network was trained to achieve effective image pre-processing. A novel adaptive stereo matching strategy was designed to ensure that the robot reliably completes 3D triangulation at various depths as it moves across the target area. Global calibration errors were corrected via a high-accuracy point cloud stitching algorithm. Experimental results indicated that the proposed adaptive stereo matching strategy was accurate to different sampling depths and showed stable performance, and the proposed point cloud stitching algorithm accurately stitched multi-view point clouds. This work provides theoretical and practical references for the 3D sensing of banana central stocks in complex environments. The proposed technique was designed for adaptability of the multi-vision system for field perception, so it can be easily transferred to similar applications such as the 3D reconstruction of agricultural targets, 3D positioning of fruit clusters, and 3D robotic arm obstacle avoidance.",,,,,,,,,51,4,0,0,8,0,55,,,0168-1699,1872-7107,,WOS:000540218000043,,
J,"Shen, Jianbing; Tang, Xin; Dong, Xingping; Shao, Ling",,,,"Dong, Xingping/AAA-8107-2019; Shen, Jianbing/U-8796-2019","Dong, Xingping/0000-0003-1613-9288; ",,,Visual Object Tracking by Hierarchical Attention Siamese Network,,,,,,,,IEEE TRANSACTIONS ON CYBERNETICS,,,,50,7,,,3068,3080,,10.1109/TCYB.2019.2936503,,,,JUL 2020,2020,"Visual tracking addresses the problem of localizing an arbitrary target in video according to the annotated bounding box. In this article, we present a novel tracking method by introducing the attention mechanism into the Siamese network to increase its matching discrimination. We propose a new way to compute attention weights to improve matching performance by a sub-Siamese network [Attention Net (A-Net)], which locates attentive parts for solving the searching problem. In addition, features in higher layers can preserve more semantic information while features in lower layers preserve more location information. Thus, in order to solve the tracking failure cases by the higher layer features, we fully utilize location and semantic information by multilevel features and propose a new way to fuse multiscale response maps from each layer to obtain a more accurate position estimation of the object. We further propose a hierarchical attention Siamese network by combining the attention weights and multilayer integration for tracking. Our method is implemented with a pretrained network which can outperform most well-trained Siamese trackers even without any fine-tuning and online updating. The comparison results with the state-of-the-art methods on popular tracking benchmarks show that our method achieves better performance. Our source code and results will be available at https://github.com/shenjianbing/HASN.",,,,,,,,,55,1,0,0,1,0,55,,,2168-2267,2168-2275,,WOS:000544035300016,31536029,
J,"Zhang, Dingwen; Han, Junwei; Zhang, Yu; Xu, Dong",,,,"Xu, Dong/A-3694-2011","Xu, Dong/0000-0003-2775-9730",,,Synthesizing Supervision for Learning Deep Saliency Network without Human Annotation,,,,,,,,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,,,,42,7,,,1755,1769,,10.1109/TPAMI.2019.2900649,,,,JUL 1 2020,2020,"Recently, the research field of salient object detection is undergoing a rapid and remarkable development along with the wide usage of deep neural networks. Being trained with a large number of images annotated with strong pixel-level ground-truth masks, the deep salient object detectors have achieved the state-of-the-art performance. However, it is expensive and time-consuming to provide the pixel-level ground-truth masks for each training image. To address this problem, this paper proposes one of the earliest frameworks to learn deep salient object detectors without requiring any human annotation. The supervisory signals used in our learning framework are generated through a novel supervision synthesis scheme, in which the key insights are knowledge source transition and supervision by fusion. Specifically, in the proposed learning framework, both the external knowledge source and the internal knowledge source are explored dynamically to provide informative cues for synthesizing supervision required in our approach, while a two-stream fusion mechanism is also established to implement the supervision synthesis process. Comprehensive experiments on four benchmark datasets demonstrate that the deep salient object detector trained by our newly proposed learning framework often works well without requiring any human annotated masks, which even approaches to its upper-bound obtained under the fully supervised learning fashion (within only 3 percent performance gap). Besides, we also apply the salient object detector learnt with our annotation-free learning framework to assist the weakly supervised semantic segmentation task, which demonstrates that our approach can also alleviate the heavy supplementary supervision required in the existing weakly supervised semantic segmentation framework.",,,,,,,,,55,0,0,0,3,0,55,,,0162-8828,1939-3539,,WOS:000542967200018,30794509,
J,"Mi, Li; Chen, Zhenzhong",,,,,,,,Superpixel-enhanced deep neural forest for remote sensing image semantic segmentation,,,,,,,,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,,,,159,,,,140,152,,10.1016/j.isprsjprs.2019.11.006,,,,JAN 2020,2020,"Semantic segmentation plays an important role in remote sensing image understanding. Great progress has been made in this area with the development of Deep Convolutional Neural Networks (DCNNs). However, due to the complexity of ground objects' spectrum, DCNNs with simple classifier have difficulties in distinguishing ground object categories even though they can represent image features effectively. Additionally, DCNN-based semantic segmentation methods learn to accumulate contextual information over large receptive fields that causes blur on object boundaries. In this work, a novel approach named Superpixel-enhanced Deep Neural Forest (SDNF) is proposed to target the aforementioned problems. To improve the classification ability, we introduce Deep Neural Forest (DNF), where the representation learning of deep neural network is conducted by a completely differentiable decision forest. Therefore, better classification accuracy is achieved by combining DCNNs with decision forests in an end-to-end manner. In addition, considering the homogeneity within superpixels and heterogeneity between superpixels, a Superpixel-enhanced Region Module (SRM) is proposed to further alleviate the noises and strengthen edges of ground objects. Experimental results on the ISPRS 2D semantic labeling benchmark demonstrate that our model significantly outperforms state-of-the-art methods thus validate the efficiency of our proposed SDNF.",,,,,,,,,52,0,0,0,1,0,52,,,0924-2716,1872-8235,,WOS:000508739800012,,
